Date,EUR_USD_Close
2012-07-27,1.2317
2012-07-30,1.2253
2012-07-31,1.2308
2012-08-01,1.2239
2012-08-02,1.2176
2012-08-03,1.2379
2012-08-06,1.2412
2012-08-07,1.2405
2012-08-08,1.2358
2012-08-09,1.2292
2012-08-10,1.2293
2012-08-13,1.2332
2012-08-14,1.2324
2012-08-15,1.2287
2012-08-16,1.2362
2012-08-17,1.2318
2012-08-20,1.2344
2012-08-21,1.2465
2012-08-22,1.2518
2012-08-23,1.2561
2012-08-24,1.2516
2012-08-27,1.2496
2012-08-28,1.2563
2012-08-29,1.2528
2012-08-30,1.2515
2012-08-31,1.2578
2012-09-03,1.2593
2012-09-04,1.257
2012-09-05,1.2598
2012-09-06,1.2639
2012-09-07,1.2798
2012-09-10,1.2761
2012-09-11,1.2855
2012-09-12,1.2895
2012-09-13,1.2988
2012-09-14,1.3122
2012-09-17,1.3101
2012-09-18,1.3035
2012-09-19,1.3056
2012-09-20,1.2969
2012-09-21,1.2989
2012-09-24,1.2927
2012-09-25,1.2906
2012-09-26,1.2857
2012-09-27,1.2914
2012-09-28,1.2844
2012-10-01,1.288
2012-10-02,1.2919
2012-10-03,1.29
2012-10-04,1.3014
2012-10-05,1.3017
2012-10-08,1.2972
2012-10-09,1.2873
2012-10-10,1.2894
2012-10-11,1.293
2012-10-12,1.2956
2012-10-15,1.2951
2012-10-16,1.3045
2012-10-17,1.3123
2012-10-18,1.3068
2012-10-19,1.3021
2012-10-22,1.3049
2012-10-23,1.2977
2012-10-24,1.2964
2012-10-25,1.2945
2012-10-26,1.2934
2012-10-29,1.2898
2012-10-30,1.2962
2012-10-31,1.292
2012-11-01,1.2936
2012-11-02,1.2832
2012-11-05,1.2794
2012-11-06,1.281
2012-11-07,1.2765
2012-11-08,1.2745
2012-11-09,1.2711
2012-11-12,1.271
2012-11-13,1.2705
2012-11-14,1.2732
2012-11-15,1.2763
2012-11-16,1.2734
2012-11-19,1.2804
2012-11-20,1.2815
2012-11-21,1.2825
2012-11-22,1.2871
2012-11-23,1.2982
2012-11-26,1.297
2012-11-27,1.2932
2012-11-28,1.2934
2012-11-29,1.2973
2012-11-30,1.3006
2012-12-03,1.3051
2012-12-04,1.3098
2012-12-05,1.3079
2012-12-06,1.2965
2012-12-07,1.2927
2012-12-10,1.2935
2012-12-11,1.3002
2012-12-12,1.3064
2012-12-13,1.3073
2012-12-14,1.3154
2012-12-17,1.316
2012-12-18,1.3224
2012-12-19,1.3247
2012-12-20,1.3243
2012-12-21,1.3178
2012-12-24,1.3173
2012-12-25,1.3191
2012-12-26,1.3218
2012-12-27,1.3242
2012-12-28,1.3219
2012-12-31,1.3188
2013-01-01,1.3219
2013-01-02,1.3177
2013-01-03,1.305
2013-01-04,1.308
2013-01-07,1.3106
2013-01-08,1.3083
2013-01-09,1.3064
2013-01-10,1.3254
2013-01-11,1.3334
2013-01-14,1.3387
2013-01-15,1.3311
2013-01-16,1.3282
2013-01-17,1.3374
2013-01-18,1.3318
2013-01-21,1.3317
2013-01-22,1.3313
2013-01-23,1.3315
2013-01-24,1.3375
2013-01-25,1.3458
2013-01-28,1.3454
2013-01-29,1.3491
2013-01-30,1.3566
2013-01-31,1.3577
2013-02-01,1.3651
2013-02-04,1.3511
2013-02-05,1.3584
2013-02-06,1.3522
2013-02-07,1.3396
2013-02-08,1.3363
2013-02-11,1.3398
2013-02-12,1.3447
2013-02-13,1.345
2013-02-14,1.3354
2013-02-15,1.3362
2013-02-18,1.3349
2013-02-19,1.339
2013-02-20,1.3283
2013-02-21,1.3182
2013-02-22,1.3184
2013-02-25,1.3089
2013-02-26,1.3054
2013-02-27,1.3136
2013-02-28,1.3064
2013-03-01,1.3024
2013-03-04,1.3017
2013-03-05,1.3039
2013-03-06,1.2991
2013-03-07,1.3106
2013-03-08,1.2997
2013-03-11,1.3031
2013-03-12,1.3034
2013-03-13,1.296
2013-03-14,1.3005
2013-03-15,1.3059
2013-03-18,1.2934
2013-03-19,1.2888
2013-03-20,1.294
2013-03-21,1.2904
2013-03-22,1.2981
2013-03-25,1.2857
2013-03-26,1.2858
2013-03-27,1.277
2013-03-28,1.2817
2013-03-29,1.2813
2013-04-01,1.2845
2013-04-02,1.2814
2013-04-03,1.2846
2013-04-04,1.2933
2013-04-05,1.301
2013-04-08,1.2995
2013-04-09,1.3083
2013-04-10,1.3057
2013-04-11,1.3111
2013-04-12,1.3103
2013-04-15,1.304
2013-04-16,1.3184
2013-04-17,1.3022
