Date,EUR_USD_Close,EUR_USD_High,EUR_USD_Low,USD_JPY_Close,USD_JPY_High,USD_JPY_Low,USD_CHF_Close,USD_CHF_High,USD_CHF_Low,GBP_USD_Close,GBP_USD_High,GBP_USD_Low,USD_CAD_Close,USD_CAD_High,USD_CAD_Low,EUR_GBP_Close,EUR_GBP_High,EUR_GBP_Low,EUR_JPY_Close,EUR_JPY_High,EUR_JPY_Low,EUR_CHF_Close,EUR_CHF_High,EUR_CHF_Low,AUD_USD_Close,AUD_USD_High,AUD_USD Low,GBP_JPY_Close,GBP_JPY_High,GBP_JPY_Low,CHF_JPY_Close,CHF_JPY_High,CHF_JPY_Low,GBP_CHF_Close,GBP_CHF_High,GBP_CHF_Low,NZD_USD_Close,NZD_USD_High,NZD_USD_Low
2012-07-26,1.2282,1.233,1.2115,78.273,78.316,77.988,0.9776,0.991,0.974,1.5687,1.5724,1.5467,1.0097,1.0166,1.0061,0.7827,0.786,0.7814,96.135,96.429,94.625,1.2008,1.2013,1.2001,1.0394,1.0425,1.0289,122.78,123.005,120.776,80.042,80.283,78.81,1.5341,1.5365,1.5278,0.802,0.8024,0.7887
2012-07-27,1.2317,1.239,1.224,78.47,78.678,78.04,0.9749,0.9809,0.9692,1.5733,1.5768,1.5665,1.0038,1.0106,1.0033,0.7827,0.7873,0.7798,96.682,97.333,95.605,1.201,1.2013,1.2,1.0479,1.0483,1.038,123.516,123.775,122.414,80.495,81.026,79.638,1.5341,1.5395,1.525,0.8094,0.8106,0.7986
2012-07-30,1.2253,1.2339,1.2226,78.203,78.545,78.122,0.98,0.9823,0.9732,1.569,1.5751,1.5673,1.0028,1.0053,1.0022,0.7809,0.7839,0.779,95.837,96.85,95.54,1.2009,1.2012,1.2008,1.0482,1.0512,1.045,122.7,123.67,122.51,79.795,80.61,79.55,1.5378,1.5416,1.5321,0.8079,0.8112,0.8073
2012-07-31,1.2308,1.233,1.2247,78.117,78.304,78.01,0.9758,0.9805,0.9739,1.5679,1.573,1.5623,1.0026,1.0043,0.9999,0.7849,0.7865,0.7796,96.146,96.28,95.71,1.2011,1.202,1.2003,1.0506,1.0538,1.0484,122.485,123.045,122.188,80.043,80.145,79.694,1.5299,1.5402,1.5272,0.8098,0.8122,0.8076
2012-08-01,1.2239,1.2336,1.2218,78.48,78.495,77.915,0.9814,0.9831,0.9738,1.5554,1.5691,1.5531,1.004,1.0056,0.9999,0.7868,0.7894,0.7842,96.06,96.459,95.703,1.2014,1.202,1.2005,1.047,1.0544,1.0447,122.059,122.685,121.76,79.941,80.295,79.68,1.5266,1.5316,1.5215,0.8093,0.8144,0.8077
2012-08-02,1.2176,1.2405,1.2131,78.22,78.538,78.122,0.9863,0.9899,0.9691,1.5509,1.568,1.5489,1.0074,1.0085,1,0.785,0.7913,0.7822,95.237,96.983,94.89,1.201,1.2029,1.2005,1.0454,1.058,1.0435,121.297,122.63,121.079,79.282,80.665,79.017,1.5296,1.5352,1.5193,0.8089,0.8172,0.8071
2012-08-03,1.2379,1.2392,1.2167,78.547,78.773,78.073,0.9706,0.9873,0.9691,1.564,1.5657,1.5505,1.0015,1.0077,0.9977,0.7914,0.7924,0.7844,97.234,97.397,95.03,1.2015,1.2017,1.2007,1.0547,1.0572,1.0446,122.836,123.06,121.095,80.908,81.06,79.11,1.518,1.5317,1.5163,0.8182,0.8201,0.8087
2012-08-06,1.2412,1.2443,1.2339,78.199,78.642,78.1,0.9674,0.9734,0.9656,1.5619,1.5665,1.5545,0.9988,1.002,0.9979,0.7946,0.7963,0.7914,97.068,97.8,96.66,1.2012,1.2079,1.2005,1.0582,1.0595,1.0532,122.15,123.18,121.683,80.796,81.382,80.485,1.5115,1.5183,1.5081,0.821,0.8224,0.816
2012-08-07,1.2405,1.2442,1.2373,78.64,78.74,78.161,0.9682,0.9706,0.9653,1.5633,1.5684,1.5563,0.9967,1.0012,0.9958,0.7934,0.796,0.7921,97.559,97.82,96.83,1.201,1.202,1.2007,1.0555,1.0606,1.0545,122.942,123.26,121.708,81.2,81.411,80.615,1.5137,1.5166,1.5092,0.8153,0.8224,0.8146
2012-08-08,1.2358,1.2402,1.2326,78.501,78.66,78.19,0.9717,0.9745,0.9678,1.5653,1.5677,1.5573,0.9944,0.9989,0.9932,0.7896,0.7948,0.7878,97.027,97.484,96.545,1.2008,1.2015,1.2005,1.057,1.0585,1.0528,122.878,122.99,121.87,80.769,81.155,80.386,1.5211,1.5244,1.511,0.8154,0.8166,0.811
2012-08-09,1.2292,1.2387,1.2266,78.578,78.792,78.27,0.9768,0.979,0.969,1.563,1.5686,1.5602,0.992,0.9951,0.9908,0.7864,0.7901,0.7853,96.6,97.284,96.32,1.2008,1.2014,1.2,1.0579,1.0616,1.0549,122.834,123.205,122.35,80.433,80.98,80.188,1.527,1.5287,1.52,0.8121,0.8164,0.8094
2012-08-10,1.2293,1.2317,1.2242,78.26,78.64,78.16,0.9766,0.981,0.9749,1.5668,1.5701,1.5578,0.9914,0.997,0.9908,0.7845,0.788,0.7827,96.22,96.74,95.72,1.2008,1.2011,1.2,1.057,1.0581,1.0497,122.635,122.95,121.8,80.12,80.54,79.71,1.5306,1.5339,1.5245,0.8122,0.8135,0.8084
2012-08-13,1.2332,1.2374,1.2258,78.361,78.376,78.13,0.9737,0.9795,0.9704,1.5684,1.5717,1.5657,0.9926,0.994,0.9901,0.7861,0.7874,0.7828,96.655,96.91,95.946,1.2009,1.2013,1.2,1.051,1.0574,1.0492,122.901,123.1,122.41,80.465,80.69,79.89,1.5272,1.5342,1.5248,0.8087,0.8132,0.8073
2012-08-14,1.2324,1.2386,1.2314,78.707,78.934,78.315,0.9743,0.9751,0.9698,1.5684,1.5728,1.567,0.9913,0.994,0.9902,0.7857,0.7884,0.7852,97.024,97.47,96.55,1.2009,1.2013,1.2,1.0494,1.0541,1.0479,123.46,123.926,122.77,80.77,81.15,80.39,1.5281,1.5291,1.5231,0.8051,0.8114,0.8047
2012-08-15,1.2287,1.2344,1.226,78.877,79.05,78.588,0.9772,0.9792,0.973,1.5687,1.5701,1.566,0.989,0.9935,0.9882,0.7832,0.788,0.7821,96.924,97.426,96.51,1.2009,1.2013,1.2003,1.0503,1.0515,1.0455,123.732,124.04,123.3,80.701,81.11,80.368,1.5331,1.535,1.5245,0.8068,0.8078,0.8037
2012-08-16,1.2362,1.2373,1.2256,79.277,79.404,78.955,0.9715,0.9799,0.9702,1.5739,1.5744,1.5637,0.986,0.99,0.9855,0.7854,0.786,0.7813,98.003,98.179,96.996,1.2007,1.2011,1.2,1.0519,1.0529,1.0475,124.75,124.938,123.795,81.593,81.747,80.76,1.5288,1.5373,1.5276,0.8109,0.812,0.8056
2012-08-17,1.2318,1.2382,1.2288,79.544,79.575,79.234,0.9748,0.9773,0.9697,1.5683,1.5739,1.5671,0.989,0.9901,0.986,0.7852,0.788,0.7834,97.98,98.41,97.67,1.2008,1.2013,1.2003,1.0411,1.0532,1.0408,124.758,124.97,124.469,81.58,81.935,81.35,1.529,1.5327,1.5242,0.8063,0.8126,0.8057
2012-08-20,1.2344,1.237,1.2294,79.394,79.658,79.29,0.9729,0.9768,0.9709,1.5707,1.5717,1.5679,0.9885,0.9902,0.9871,0.7857,0.7871,0.7832,98.008,98.353,97.73,1.2009,1.2013,1.2,1.045,1.0472,1.0419,124.694,125.015,124.508,81.588,81.888,81.362,1.5282,1.5331,1.5259,0.8089,0.8109,0.8064
2012-08-21,1.2465,1.2488,1.2347,79.239,79.525,79.19,0.9634,0.9728,0.9613,1.5777,1.5804,1.5707,0.9893,0.99,0.9838,0.79,0.7908,0.7855,98.774,99.182,97.966,1.2008,1.2013,1.2,1.0473,1.0522,1.0443,125.027,125.52,124.636,82.238,82.57,81.56,1.52,1.529,1.5184,0.8101,0.8145,0.8089
2012-08-22,1.2518,1.2538,1.2432,78.491,79.375,78.287,0.9593,0.966,0.9577,1.5861,1.5873,1.5766,0.9915,0.9947,0.9891,0.7892,0.791,0.7877,98.267,99.02,98.094,1.201,1.2012,1.2,1.0503,1.0521,1.0413,124.48,125.518,124.09,81.825,82.44,81.683,1.5213,1.5245,1.5182,0.8129,0.8144,0.8077
2012-08-23,1.2561,1.259,1.2524,78.452,78.695,78.34,0.956,0.9589,0.9534,1.5862,1.5913,1.5856,0.9933,0.9949,0.9883,0.7917,0.7924,0.7884,98.56,98.814,98.23,1.2008,1.2012,1.2,1.0441,1.0547,1.0432,124.43,124.995,124.306,82.059,82.27,81.82,1.5163,1.5234,1.5148,0.8133,0.8189,0.8126
2012-08-24,1.2516,1.2569,1.2482,78.7,78.723,78.459,0.9594,0.9621,0.9554,1.5806,1.5869,1.58,0.9912,0.9947,0.9902,0.7917,0.7933,0.789,98.495,98.827,97.981,1.2005,1.2011,1.2,1.0406,1.0446,1.0374,124.386,124.815,124.06,82.016,82.29,81.59,1.5166,1.5221,1.5132,0.8112,0.8144,0.8077
2012-08-27,1.2496,1.2536,1.249,78.753,78.842,78.61,0.9609,0.9615,0.9571,1.5791,1.5829,1.5788,0.9907,0.9925,0.9886,0.7911,0.7929,0.7902,98.418,98.715,98.322,1.2009,1.2011,1.2002,1.0369,1.0429,1.0364,124.35,124.638,124.138,81.94,82.19,81.87,1.5175,1.5199,1.5143,0.8084,0.8128,0.808
2012-08-28,1.2563,1.2577,1.2466,78.517,78.773,78.42,0.9557,0.9635,0.9541,1.5822,1.5836,1.5755,0.988,0.9918,0.9843,0.794,0.7955,0.7907,98.63,98.83,97.895,1.2007,1.2012,1.2,1.0373,1.0392,1.0346,124.21,124.41,123.71,82.13,82.285,81.504,1.5123,1.519,1.5098,0.8036,0.8092,0.8029
2012-08-29,1.2528,1.2574,1.2518,78.685,78.786,78.45,0.9583,0.9593,0.9548,1.5833,1.5856,1.58,0.9889,0.9899,0.9861,0.7911,0.7946,0.7905,98.567,98.83,98.345,1.2008,1.2011,1.2,1.0358,1.0399,1.0352,124.574,124.77,124.02,82.07,82.287,81.9,1.5173,1.5191,1.511,0.8011,0.8061,0.8006
2012-08-30,1.2515,1.2564,1.2487,78.619,78.748,78.46,0.9594,0.9617,0.9553,1.5793,1.5875,1.5769,0.9916,0.9932,0.9887,0.7923,0.7936,0.79,98.396,98.79,97.99,1.2007,1.2012,1.2,1.0308,1.0351,1.0274,124.183,124.81,123.847,81.92,82.26,81.621,1.5153,1.5198,1.5128,0.7989,0.8035,0.7965
2012-08-31,1.2578,1.2637,1.2494,78.283,78.64,78.189,0.9544,0.9612,0.9503,1.5881,1.5896,1.5779,0.9856,0.9931,0.9852,0.792,0.7956,0.7916,98.462,99.027,97.986,1.2008,1.2012,1.2003,1.0326,1.0355,1.0278,124.312,124.605,123.759,81.99,82.465,81.595,1.5159,1.517,1.5093,0.803,0.8044,0.7975
2012-09-03,1.2593,1.2611,1.2554,78.29,78.401,78.15,0.9533,0.9561,0.9518,1.5886,1.5899,1.5847,0.986,0.9878,0.9848,0.7926,0.7934,0.7906,98.586,98.7,98.19,1.2006,1.2011,1.2,1.0241,1.0303,1.0228,124.373,124.56,123.892,82.099,82.195,81.777,1.5146,1.5189,1.5133,0.798,0.8019,0.7964
2012-09-04,1.257,1.2628,1.2554,78.39,78.471,78.24,0.9556,0.9566,0.9503,1.5877,1.591,1.5855,0.9856,0.9875,0.9838,0.7916,0.7943,0.7901,98.571,99.02,98.355,1.2011,1.2012,1.2,1.0225,1.0288,1.0211,124.512,124.8,124.248,82.057,82.445,81.91,1.517,1.5197,1.5116,0.7939,0.7999,0.7919
2012-09-05,1.2598,1.2624,1.2501,78.39,78.54,78.26,0.9557,0.9608,0.9529,1.5906,1.5934,1.5822,0.9904,0.9918,0.9853,0.792,0.793,0.7886,98.75,98.92,97.95,1.204,1.2048,1.2004,1.0194,1.0233,1.0165,124.686,124.95,123.96,82.02,82.28,81.56,1.52,1.5231,1.5166,0.7949,0.796,0.7911
2012-09-06,1.2639,1.2652,1.256,78.862,79.034,78.383,0.9533,0.9597,0.9519,1.5937,1.5943,1.5881,0.9828,0.9914,0.9808,0.793,0.7946,0.7905,99.681,99.808,98.761,1.2051,1.2068,1.2037,1.0285,1.0303,1.0169,125.703,125.885,124.647,82.713,82.841,81.965,1.5193,1.5251,1.5154,0.8014,0.8034,0.794
2012-09-07,1.2798,1.2807,1.2623,78.266,79.019,78,0.9451,0.958,0.9433,1.5999,1.6034,1.592,0.9782,0.9835,0.9762,0.7998,0.8002,0.7924,100.166,100.432,99.57,1.2098,1.2155,1.2042,1.0393,1.0402,1.0273,125.211,126.205,124.969,82.78,82.927,82.378,1.5123,1.5297,1.5114,0.8114,0.8126,0.8003
2012-09-10,1.2761,1.2812,1.2755,78.25,78.33,78.15,0.9462,0.9485,0.9429,1.599,1.6019,1.5956,0.9777,0.9788,0.9751,0.7981,0.8011,0.7975,99.87,100.27,99.81,1.2076,1.2119,1.2071,1.0339,1.0389,1.0329,125.11,125.39,124.86,82.67,82.94,82.55,1.5131,1.5177,1.5091,0.809,0.8136,0.8081
2012-09-11,1.2855,1.2871,1.2758,77.724,78.273,77.67,0.9388,0.947,0.9373,1.6067,1.6084,1.5988,0.9732,0.9776,0.9709,0.8,0.8006,0.7965,99.918,100.244,99.5,1.2068,1.2091,1.2059,1.0436,1.0453,1.0323,124.872,125.4,124.692,82.771,83.062,82.435,1.5081,1.5151,1.5073,0.8186,0.8194,0.8083
2012-09-12,1.2895,1.2937,1.2816,77.8,77.966,77.73,0.9375,0.9404,0.9337,1.6105,1.6131,1.606,0.9765,0.9768,0.9711,0.8006,0.803,0.7969,100.373,100.645,99.747,1.209,1.2103,1.2033,1.0454,1.0507,1.0422,125.363,125.63,124.852,83.014,83.255,82.752,1.5099,1.5136,1.5048,0.8195,0.8237,0.8164
2012-09-13,1.2988,1.3002,1.2855,77.489,77.87,77.12,0.9349,0.9421,0.9343,1.6154,1.6174,1.6071,0.9684,0.9774,0.9664,0.8039,0.8044,0.7991,100.651,100.774,99.469,1.2143,1.2163,1.2076,1.0543,1.0568,1.0425,125.17,125.44,124.397,82.871,83.11,82.12,1.5101,1.5173,1.507,0.8303,0.8324,0.8194
2012-09-14,1.3122,1.3169,1.2977,78.362,78.374,77.46,0.9268,0.9356,0.9235,1.623,1.6256,1.6141,0.971,0.9714,0.9629,0.8084,0.8115,0.8035,102.835,103.023,100.6,1.2162,1.2178,1.2138,1.056,1.0624,1.0527,127.179,127.26,125.072,84.529,84.678,82.82,1.5045,1.5136,1.499,0.8304,0.8356,0.8278
2012-09-17,1.3101,1.3172,1.3081,78.733,78.93,78.13,0.9282,0.9297,0.9243,1.6236,1.6273,1.6209,0.9756,0.976,0.9688,0.8068,0.8102,0.8058,103.152,103.858,102.536,1.216,1.2185,1.2137,1.0466,1.0562,1.0452,127.836,128.24,126.764,84.8,85.27,84.25,1.5072,1.509,1.5007,0.8257,0.8305,0.8245
2012-09-18,1.3035,1.3119,1.3027,78.85,78.874,78.49,0.9291,0.9298,0.9246,1.624,1.6267,1.6219,0.9749,0.9766,0.9727,0.8024,0.8073,0.8019,102.77,103.28,102.392,1.2113,1.217,1.2095,1.044,1.049,1.0406,127.985,128.11,127.408,84.835,85.146,84.499,1.509,1.5102,1.501,0.8267,0.8287,0.8236
2012-09-19,1.3056,1.3085,1.2991,78.35,79.217,78.23,0.9276,0.9307,0.9256,1.6221,1.6271,1.6181,0.9742,0.9764,0.9726,0.8048,0.806,0.8015,102.303,103.634,102.097,1.2111,1.2126,1.2079,1.0486,1.0498,1.0418,127.105,128.834,126.904,84.445,85.542,84.328,1.5047,1.5097,1.502,0.8279,0.8299,0.8257
2012-09-20,1.2969,1.3059,1.2919,78.278,78.46,77.99,0.933,0.9356,0.9254,1.6217,1.6236,1.616,0.9763,0.9816,0.9741,0.7997,0.8046,0.7986,101.52,102.395,100.907,1.21,1.2106,1.2075,1.0439,1.048,1.0365,126.92,127.292,126.22,83.883,84.65,83.496,1.5128,1.5136,1.503,0.8287,0.8305,0.8206
2012-09-21,1.2989,1.3048,1.2955,78.13,78.37,78.07,0.9322,0.9344,0.9279,1.625,1.6309,1.6211,0.9771,0.978,0.9726,0.7992,0.801,0.7973,101.5,102.1,101.22,1.211,1.2121,1.209,1.045,1.0522,1.0424,126.985,127.63,126.78,83.79,84.28,83.63,1.515,1.518,1.5116,0.8293,0.8339,0.8281
2012-09-24,1.2927,1.299,1.289,77.855,78.2,77.78,0.9359,0.9392,0.9321,1.6216,1.6249,1.6179,0.9785,0.9818,0.9763,0.7971,0.7996,0.7955,100.647,101.53,100.34,1.21,1.2114,1.2083,1.0422,1.046,1.0381,126.249,127.084,125.933,83.162,83.83,82.94,1.5179,1.5208,1.5139,0.8212,0.8308,0.8182
2012-09-25,1.2906,1.2971,1.2886,77.763,77.928,77.63,0.9373,0.9384,0.9327,1.6198,1.6267,1.6191,0.9801,0.9809,0.9752,0.7967,0.7986,0.7934,100.354,101.047,100.13,1.2096,1.2114,1.2082,1.0393,1.0464,1.0387,125.962,126.7,125.835,82.94,83.485,82.81,1.5181,1.5238,1.5154,0.8227,0.8287,0.8202
2012-09-26,1.2857,1.2913,1.2836,77.713,77.906,77.593,0.9399,0.9417,0.9368,1.6156,1.6209,1.6138,0.9855,0.9856,0.9801,0.7957,0.797,0.794,99.937,100.48,99.719,1.2086,1.21,1.2079,1.0352,1.0388,1.0329,125.566,126.104,125.35,82.663,83.07,82.504,1.5187,1.5226,1.5169,0.8234,0.8247,0.8185
2012-09-27,1.2914,1.2928,1.2829,77.59,77.756,77.54,0.937,0.9417,0.9354,1.6237,1.6244,1.6166,0.9808,0.9854,0.9788,0.7953,0.7966,0.7924,100.217,100.359,99.636,1.2103,1.2111,1.2076,1.0446,1.0461,1.0365,125.989,126.13,125.6,82.794,82.94,82.463,1.5214,1.5249,1.5185,0.8314,0.8328,0.8243
2012-09-28,1.2844,1.296,1.2838,77.97,78.11,77.44,0.9407,0.9415,0.9332,1.6126,1.6272,1.6112,0.9837,0.9851,0.978,0.7962,0.7995,0.7948,100.16,100.67,99.89,1.2081,1.2108,1.2076,1.0366,1.0475,1.0362,125.758,126.22,125.4,82.91,83.21,82.61,1.5167,1.5229,1.5132,0.8275,0.8359,0.8272
2012-10-01,1.288,1.2939,1.2804,78,78.149,77.793,0.9385,0.9438,0.9349,1.6126,1.6175,1.611,0.9828,0.9854,0.9795,0.7987,0.8004,0.7943,100.47,101.026,99.794,1.209,1.2102,1.208,1.036,1.0406,1.0325,125.783,126.315,125.519,83.089,83.486,82.564,1.5137,1.5214,1.5112,0.8273,0.8325,0.8264
